Total/Rural/Urban,Area Name,Religious Community,Age-Group,Total Population,Population Males,Population Females,Total Main Workers,Main Workers Male,Main Workers Female,Total Marginal Workers,Marginal Workers Male,Marginal Workers Female,MW Available Total,MW Available Males,MW Available Females,Total Non Workers,Non Workers Male,Non Workers Female,NW Available Total,NW Available Males,NW Available Females
Total,INDIA,All religious communities,Total,1210854977,623270258,587584719,362565571,273209976,89355595,119323297,58729899,60593398,55477094,33541669,21935425,728966109,291330383,437635726,60709399,24670272,36039127
Total,INDIA,All religious communities,5-9,126928126,66300466,60627660,1108808,630875,477933,1424830,735197,689633,328654,178149,150505,124394488,64934394,59460094,1084783,576354,508429
Total,INDIA,All religious communities,10-14,132709212,69418835,63290377,3244439,2033172,1211267,4350586,2229671,2120915,1263407,726515,536892,125114187,65155992,59958195,2853891,1577333,1276558
Total,INDIA,All religious communities,15-19,120526449,63982396,56544053,17703310,12721891,4981419,12513070,6975789,5537281,6501739,4165965,2335774,90310069,44284716,46025353,15134928,8423500,6711428
Total,INDIA,All religious communities,20-24,111424222,57584693,53839529,38664170,28977411,9686759,16800190,9021117,7779073,9578750,6126314,3452436,55959862,19586165,36373697,15763566,7602474,8161092
Total,INDIA,All religious communities,25-29,101413965,51344208,50069757,48666298,36901575,11764723,15793613,7931898,7861715,8560839,5250800,3310039,36954054,6510735,30443319,9133775,3057158,6076617
Total,INDIA,All religious communities,30-34,88594951,44660674,43934277,47152411,35600323,11552088,13634912,6348919,7285993,6956395,4069257,2887138,27807628,2711432,25096196,5101348,1115810,3985538
Total,INDIA,All religious communities,35-39,85140684,42919381,42221303,47503671,35372529,12131142,12905159,5799301,7105858,6337718,3618140,2719578,24731854,1747551,22984303,3839253,595714,3243539
Total,INDIA,All religious communities,40-49,134756439,69683500,65072939,77295643,58397073,18898570,19276896,8615203,10661693,8601272,4954681,3646591,38183900,2671224,35512676,4210096,652220,3557876
Total,INDIA,All religious communities,50-59,88215309,45299278,42916031,47440004,36456219,10983785,11602976,5228122,6374854,4270417,2498131,1772286,29172329,3614937,25557392,1870576,414608,1455968
Total,INDIA,All religious communities,60-69,64118690,31646075,32472615,23840363,18216604,5623759,7635219,3870907,3764312,2241529,1398142,843387,32643108,9558564,23084544,1174598,421518,753080
Total,INDIA,All religious communities,70-79,28441345,14142102,14299243,6917739,5560331,1357408,2301307,1363908,937399,515953,351926,164027,19222299,7217863,12004436,319143,133677,185466
Total,INDIA,All religious communities,80+,11289005,5283695,6005310,1850952,1463786,387166,647762,380016,267746,157989,102790,55199,8790291,3439893,5350398,115186,46788,68398
Total,INDIA,All religious communities,Age not stated,4489802,2372881,2116921,1177763,878187,299576,436777,229851,206926,162432,100859,61573,2875262,1264843,1610419,108256,53118,55138
Total,INDIA,All religious communities,15-59,730072019,375474130,354597889,324425507,244427021,79998486,102526816,49920349,52606467,50807130,30683288,20123842,303119696,81126760,221992936,55053542,21861484,33192058
Total,INDIA,All religious communities,60+,103849040,51071872,52777168,32609054,25240721,7368333,10584288,5614831,4969457,2915471,1852858,1062613,60655698,20216320,40439378,1608927,601983,1006944
Total,INDIA,Hindu,Total,966257353,498306968,467950385,297849057,221132460,76716597,98735783,47489072,51246711,45430840,27083901,18346939,569672513,229685436,339987077,46314754,19161172,27153582
Total,INDIA,Hindu,5-9,98842302,51752264,47090038,870742,492887,377855,1100032,566978,533054,246398,133224,113174,96871528,50692399,46179129,783608,416910,366698
Total,INDIA,Hindu,10-14,104107800,54573129,49534671,2497075,1519841,977234,3404796,1716891,1687905,955916,537161,418755,98205929,51336397,46869532,2009165,1107847,901318
Total,INDIA,Hindu,15-19,94463520,50425235,44038285,13779347,9645661,4133686,9974918,5448150,4526768,5126893,3234049,1892844,70709255,35331424,35377831,11395664,6440593,4955071
Total,INDIA,Hindu,20-24,88102231,45674250,42427981,31053926,22808467,8245459,13703110,7201482,6501628,7764068,4908277,2855791,43345195,15664301,27680894,12207281,6029842,6177439
Total,INDIA,Hindu,25-29,81398001,41307634,40090367,39801877,29700397,10101480,13073635,6424720,6648915,7038019,4266405,2771614,28522489,5182517,23339972,7072201,2448996,4623205
Total,INDIA,Hindu,30-34,71731534,36230268,35501266,38855013,28903218,9951795,11391220,5182516,6208704,5771657,3332006,2439651,21485301,2144534,19340767,3932638,892530,3040108
Total,INDIA,Hindu,35-39,69143968,34933268,34210700,39270741,28806602,10464139,10806085,4746750,6059335,5269182,2969250,2299932,19067142,1379916,17687226,2935179,472874,2462305
Total,INDIA,Hindu,40-49,109788967,56881538,52907429,64023114,47725872,16297242,16161832,7049001,9112831,7145941,4056920,3089021,29604021,2106665,27497356,3206544,513365,2693179
Total,INDIA,Hindu,50-59,72273271,37141300,35131971,39518434,30004316,9514118,9782265,4289226,5493039,3555059,2044489,1510570,22972572,2847758,20124814,1430253,321214,1109039
Total,INDIA,Hindu,60-69,52776611,26008879,26767732,19901168,15002605,4898563,6477363,3216517,3260846,1866384,1147657,718727,26398080,7789757,18608323,915114,332384,582730
Total,INDIA,Hindu,70-79,23562207,11713743,11848464,5793850,4621775,1172075,1961019,1148332,812687,428822,289689,139133,15807338,5943636,9863702,252061,106115,145946
Total,INDIA,Hindu,80+,9212211,4311924,4900287,1522544,1194690,327854,541485,314585,226900,128630,82798,45832,7148182,2802649,4345533,89182,36698,52484
Total,INDIA,Hindu,Age not stated,3533887,1857504,1676383,961226,706129,255097,358023,183924,174099,133871,81976,51895,2214638,967451,1247187,85864,41804,44060
Total,INDIA,Hindu,15-59,586901492,302593493,284307999,266302452,197594533,68707919,84893065,40341845,44551220,41670819,24811396,16859423,235705975,64657115,171048860,42179760,17119414,25060346
Total,INDIA,Hindu,60+,85551029,42034546,43516483,27217562,20819070,6398492,8979867,4679434,4300433,2423836,1520144,903692,49353600,16536042,32817558,1256357,475197,781160
Total,INDIA,Muslim,Total,172245158,88273945,83971213,42080098,35521029,6559069,14025701,8180857,5844844,6943678,4796895,2146783,116139359,44572059,71567300,10320104,3871234,6448870
Total,INDIA,Muslim,5-9,21478536,11083818,10394718,173163,101467,71696,220632,115024,105608,59784,33048,26736,21084741,10867327,10217414,229513,121877,107636
Total,INDIA,Muslim,10-14,21451442,11084681,10366761,580455,410040,170415,653335,365179,288156,230778,148529,82249,20217652,10309462,9908190,686421,384464,301957
Total,INDIA,Muslim,15-19,19101614,9900673,9200941,3055465,2471947,583518,1849241,1165860,683381,1012236,725470,286766,14196908,6262866,7934042,2796390,1468214,1328176
Total,INDIA,Muslim,20-24,16640317,8546075,8094242,5422427,4609118,813309,2172875,1357936,814939,1261423,906875,354548,9045015,2579021,6465994,2442263,1046511,1395752
Total,INDIA,Muslim,25-29,13927787,7006039,6921748,5900821,5049246,851575,1863508,1098798,764710,1033538,716171,317367,6163458,857995,5305463,1409445,386621,1022824
Total,INDIA,Muslim,30-34,11540455,5789206,5751249,5382113,4567678,814435,1532122,852496,679626,806945,541499,265446,4626220,369032,4257188,819117,142577,676540
Total,INDIA,Muslim,35-39,10873884,5466174,5407710,5303764,4458652,845112,1425196,769453,655743,726140,478265,247875,4144924,238069,3906855,648788,78897,569891
Total,INDIA,Muslim,40-49,16182321,8411450,7770871,8167810,6944127,1223683,2044796,1117483,927313,970001,652985,317016,5969715,349840,5619875,714751,87506,627245
Total,INDIA,Muslim,50-59,9894968,5113358,4781610,4669962,4000198,669764,1164997,651238,513759,477222,329195,148027,4060009,461922,3598087,313469,60797,252672
Total,INDIA,Muslim,60-69,6992014,3531944,3460070,2407393,2041604,365789,748475,458023,290452,260465,187642,72823,3836146,1032317,2803829,178289,59712,118577
Total,INDIA,Muslim,70-79,2860381,1443647,1416734,667098,574757,92341,221422,148691,72731,63105,47569,15536,1971861,720199,1251662,46904,19160,27744
Total,INDIA,Muslim,80+,1202328,566810,635518,204241,172315,31926,73425,46987,26438,22249,15846,6403,924662,347508,577154,19319,7362,11957
Total,INDIA,Muslim,Age not stated,663875,349159,314716,145386,119880,25506,55677,33689,21988,19792,13801,5991,462812,195590,267222,15435,7536,7899
Total,INDIA,Muslim,15-59,98161346,50232975,47928371,37902362,32100966,5801396,12052735,7013264,5039471,6287505,4350460,1937045,48206249,11118745,37087504,9144223,3271123,5873100
Total,INDIA,Muslim,60+,11054723,5542401,5512322,3278732,2788676,490056,1043322,653701,389621,345819,251057,94762,6732669,2100024,4632645,244512,86234,158278
Total,INDIA,Christian,Total,27819588,13751031,14068557,9107955,6094172,3013783,2550558,1180559,1369999,1096191,565715,530476,16161075,6476300,9684775,1909944,716812,1193132
Total,INDIA,Christian,5-9,2560275,1306536,1253739,21672,11638,10034,46975,23497,23478,9863,5029,4834,2491628,1271401,1220227,35269,18022,17247
Total,INDIA,Christian,10-14,2760926,1402808,1358118,60039,34208,25831,129067,64581,64486,29629,15265,14364,2571820,1304019,1267801,70768,36297,34471
Total,INDIA,Christian,15-19,2570883,1293777,1277106,292824,178495,114329,258821,131268,127553,123044,66250,56794,2019238,984014,1035224,404403,207400,197003
Total,INDIA,Christian,20-24,2441355,1189581,1251774,786750,488746,298004,344813,167427,177386,200140,107452,92688,1309792,533408,776384,518590,237563,281027
Total,INDIA,Christian,25-29,2305878,1113503,1192375,1165259,762743,402516,330123,154221,175902,183834,97168,86666,810496,196539,613957,322202,104634,217568
Total,INDIA,Christian,30-34,2046431,997121,1049310,1187930,797864,390066,272112,119610,152502,136655,68957,67698,586389,79647,506742,180952,37923,143029
Total,INDIA,Christian,35-39,2004636,967391,1037245,1225662,810331,415331,259315,107299,152016,122142,58393,63749,519659,49761,469898,133920,20158,113762
Total,INDIA,Christian,40-49,3505502,1727001,1778501,2184354,1465522,718832,420495,176625,243870,166882,81835,85047,900653,84854,815799,145495,23548,121947
Total,INDIA,Christian,50-59,2500983,1242559,1258424,1402403,982220,420183,269126,122221,146905,79289,40899,38390,829454,138118,691336,58506,15544,42962
Total,INDIA,Christian,60-69,1625748,787036,838712,560167,402667,157500,154496,77141,77355,33556,18138,15418,911085,307228,603857,29376,11477,17899
Total,INDIA,Christian,70-79,780150,363817,416333,162015,118873,43142,47074,26786,20288,6968,4077,2891,571061,218158,352903,6455,2571,3884
Total,INDIA,Christian,80+,330504,142732,187772,42343,30029,12314,12524,7142,5382,2087,1147,940,275637,105561,170076,2265,866,1399
Total,INDIA,Christian,Age not stated,55912,28473,27439,16537,10836,5701,5617,2741,2876,2102,1105,997,33758,14896,18862,1743,809,934
Total,INDIA,Christian,15-59,17375668,8530933,8844735,8245182,5485921,2759261,2154805,978671,1176134,1011986,520954,491032,6975681,2066341,4909340,1764068,646770,1117298
Total,INDIA,Christian,60+,2736402,1293585,1442817,764525,551569,212956,214094,111069,103025,42611,23362,19249,1757783,630947,1126836,38096,14914,23182
Total,INDIA,Sikh,Total,20833116,10948431,9884685,6402567,5490117,912450,1164622,578301,586321,511825,307788,204037,13265927,4880013,8385914,1120814,449704,671110
Total,INDIA,Sikh,5-9,1687394,935267,752127,15618,9718,5900,18268,10090,8178,5154,2947,2207,1653508,915459,738049,16462,9291,7171
Total,INDIA,Sikh,10-14,1904993,1070813,834180,43924,32616,11308,43090,24167,18923,15012,9052,5960,1817979,1014030,803949,42268,25009,17259
Total,INDIA,Sikh,15-19,2111594,1170625,940969,278127,237863,40264,130458,78898,51560,71720,47885,23835,1703009,853864,849145,283924,165270,118654
Total,INDIA,Sikh,20-24,2051985,1070357,981628,692071,597715,94356,174072,99048,75024,98835,64774,34061,1185842,373594,812248,306038,140795,165243
Total,INDIA,Sikh,25-29,1774466,907627,866839,842147,719013,123134,146475,74632,71843,73882,45178,28704,785844,113982,671862,161670,47871,113799
Total,INDIA,Sikh,30-34,1548589,784050,764539,795873,676819,119054,125109,55778,69331,56863,31530,25333,627607,51453,576154,84918,16360,68558
Total,INDIA,Sikh,35-39,1473691,739310,734381,774098,653325,120773,116554,48592,67962,50069,26555,23514,583039,37393,545646,63692,9257,54435
Total,INDIA,Sikh,40-49,2587268,1307385,1279883,1366503,1163707,202796,185672,76922,108750,71866,39050,32816,1035093,66756,968337,81488,12516,68972
Total,INDIA,Sikh,50-59,1736200,894607,841593,877011,762552,114459,105358,46644,58714,34707,19967,14740,753831,85411,668420,38308,8279,30029
Total,INDIA,Sikh,60-69,1420137,710546,709591,499771,442541,57230,82102,41264,40838,24483,14713,9770,838264,226741,611523,30303,9992,20311
Total,INDIA,Sikh,70-79,653202,345812,307390,158214,142983,15231,25850,15830,10020,6213,4278,1935,469138,186999,282139,7819,3410,4409
Total,INDIA,Sikh,80+,327614,165370,162244,47459,41656,5803,8539,4985,3554,1899,1205,694,271616,118729,152887,2611,1098,1513
Total,INDIA,Sikh,Age not stated,43340,22979,20361,11751,9609,2142,3075,1451,1624,1122,654,468,28514,11919,16595,1313,556,757
Total,INDIA,Sikh,15-59,13283793,6873961,6409832,5625830,4810994,814836,983698,480514,503184,457942,274939,183003,6674265,1582453,5091812,1020038,400348,619690
Total,INDIA,Sikh,60+,2400953,1221728,1179225,705444,627180,78264,116491,62079,54412,32595,20196,12399,1579018,532469,1046549,40733,14500,26233
Total,INDIA,Buddhist,Total,8442972,4296010,4146962,3020232,1992873,1027359,622910,300774,322136,294996,166460,128536,4799830,2002363,2797467,374939,174612,200327
Total,INDIA,Buddhist,5-9,740778,383089,357689,9073,4794,4279,6240,3280,2960,1129,591,538,725465,375015,350450,5300,2734,2566
Total,INDIA,Buddhist,10-14,840760,434979,405781,21526,12398,9128,16648,8449,8199,3954,2204,1750,802586,414132,388454,11556,6104,5452
Total,INDIA,Buddhist,15-19,827418,433708,393710,120376,77322,43054,50721,27715,23006,25543,15494,10049,656321,328671,327650,83319,46921,36398
Total,INDIA,Buddhist,20-24,851088,435226,415862,312035,206050,105985,87747,47059,40688,51676,31612,20064,451306,182117,269189,114036,59563,54473
Total,INDIA,Buddhist,25-29,775032,393234,381798,410407,277345,133062,86339,43894,42445,48823,28601,20222,278286,71995,206291,70059,30842,39217
Total,INDIA,Buddhist,30-34,658703,334079,324624,406535,272145,134390,72399,34288,38111,38717,21495,17222,179769,27646,152123,32857,11159,21698
Total,INDIA,Buddhist,35-39,622972,313829,309143,407790,267092,140698,67868,31018,36850,34666,18693,15973,147314,15719,131595,20098,5145,14953
Total,INDIA,Buddhist,40-49,980064,503637,476427,655463,435572,219891,101505,45077,56428,46978,24960,22018,223096,22988,200108,19136,4975,14161
Total,INDIA,Buddhist,50-59,639087,326031,313056,392759,264023,128736,63864,27647,36217,24189,12632,11557,182464,34361,148103,8762,2988,5774
Total,INDIA,Buddhist,60-69,489289,224661,264628,200309,119466,80843,47474,20534,26940,14108,7144,6964,241506,84661,156845,6433,2683,3750
Total,INDIA,Buddhist,70-79,228452,109410,119042,60922,41280,19642,16325,8722,7603,3551,2094,1457,151205,59408,91797,2041,856,1185
Total,INDIA,Buddhist,80+,77664,35750,41914,14033,9509,4524,3723,2068,1655,783,474,309,59908,24173,35735,692,310,382
Total,INDIA,Buddhist,Age not stated,25799,13635,12164,9004,5877,3127,2057,1023,1034,879,466,413,14738,6735,8003,650,332,318
Total,INDIA,Buddhist,15-59,5354364,2739744,2614620,2705365,1799549,905816,530443,256698,273745,270592,153487,117105,2118556,683497,1435059,348267,161593,186674
Total,INDIA,Buddhist,60+,795405,369821,425584,275264,170255,105009,67522,31324,36198,18442,9712,8730,452619,168242,284377,9166,3849,5317
Total,INDIA,Jain,Total,4451753,2278097,2173656,1464026,1255651,208375,117576,59147,58429,30206,18334,11872,2870151,963299,1906852,146863,61769,85094
Total,INDIA,Jain,5-9,306113,163359,142754,2618,1519,1099,2499,1332,1167,498,285,213,300996,160508,140488,1830,940,890
Total,INDIA,Jain,10-14,340952,182042,158910,4674,3271,1403,3617,1960,1657,771,433,338,332661,176811,155850,3394,1819,1575
Total,INDIA,Jain,15-19,359137,190812,168325,18185,14290,3895,7928,4571,3357,3012,1886,1126,333024,171951,161073,25623,14670,10953
Total,INDIA,Jain,20-24,381590,195758,185832,101774,80897,20877,15608,8644,6964,6874,4275,2599,264208,106217,157991,51168,26001,25167
Total,INDIA,Jain,25-29,385662,194577,191085,189965,157919,32046,15146,8242,6904,5326,3410,1916,180551,28416,152135,26638,9729,16909
Total,INDIA,Jain,30-34,365817,184013,181804,194628,166815,27813,12776,6333,6443,3404,2076,1328,158413,10865,147548,12027,2778,9249
Total,INDIA,Jain,35-39,348301,172807,175494,188252,160064,28188,12155,5421,6734,2825,1603,1222,147894,7322,140572,8393,1439,6954
Total,INDIA,Jain,40-49,635252,322084,313168,349069,301001,48068,20098,8856,11242,3973,2345,1628,266085,12227,253858,9357,1630,7727
Total,INDIA,Jain,50-59,485643,249982,235661,252537,223944,28593,13869,6371,7498,2058,1180,878,219237,19667,199570,4381,1116,3265
Total,INDIA,Jain,60-69,321637,160326,161311,112108,100923,11185,8572,4347,4225,969,545,424,200957,55056,145901,2706,1053,1653
Total,INDIA,Jain,70-79,166035,80880,85155,36399,33085,3314,3621,2116,1505,267,156,111,126015,45679,80336,748,321,427
Total,INDIA,Jain,80+,66090,29094,36996,9206,8079,1127,1081,642,439,99,61,38,55803,20373,35430,324,145,179
Total,INDIA,Jain,Age not stated,15191,7710,7481,4611,3844,767,606,312,294,130,79,51,9974,3554,6420,274,128,146
Total,INDIA,Jain,15-59,2961402,1510033,1451369,1294410,1104930,189480,97580,48438,49142,27472,16775,10697,1569412,356665,1212747,137587,57363,80224
Total,INDIA,Jain,60+,553762,270300,283462,157713,142087,15626,13274,7105,6169,1335,762,573,382775,121108,261667,3778,1519,2259
Total,INDIA,Other religious communities,Total,7937734,3952064,3985670,2001370,1291787,709583,1848267,811485,1036782,1053445,535954,517491,4088097,1848792,2239305,329249,140112,189137
Total,INDIA,Other religious communities,5-9,972778,493681,479097,7652,3991,3661,20885,10087,10798,3094,1537,1557,944241,479603,464638,9285,4755,4530
Total,INDIA,Other religious communities,10-14,968883,491056,477827,24128,13300,10828,85326,40574,44752,22492,11135,11357,859429,437182,422247,24240,12427,11813
Total,INDIA,Other religious communities,15-19,792176,404989,387187,110629,65036,45593,209515,101478,108037,123275,64938,58337,472032,238475,233557,96803,51595,45208
Total,INDIA,Other religious communities,20-24,689218,333573,355645,211857,129140,82717,262617,117479,145138,173703,89226,84477,214744,86954,127790,77700,36936,40764
Total,INDIA,Other religious communities,25-29,623090,309519,313571,261822,169414,92408,243778,109183,134595,159246,83081,76165,117490,30922,86568,42335,15817,26518
Total,INDIA,Other religious communities,30-34,528517,258210,270307,250508,160735,89773,202349,84969,117380,129136,64404,64732,75660,12506,63154,22098,5868,16230
Total,INDIA,Other religious communities,35-39,519601,256471,263130,260961,168459,92502,194539,80226,114313,121754,59620,62134,64101,7786,56315,16222,3195,13027
Total,INDIA,Other religious communities,40-49,854155,429928,424227,442875,290797,152078,309801,127277,182524,182087,89642,92445,101479,11854,89625,19295,3472,15823
